hsa-miR-630,PRDX6
hsa-miR-873-5p,SMARCA2
hsa-miR-20b-3p,TARDBP
hsa-miR-21-3p,TBL1X
hsa-miR-525-5p,MAP3K11
hsa-miR-636,HMGCR
hsa-miR-483-5p,WNT16
hsa-miR-3156-5p,NT5C3A
hsa-miR-1185-2-3p,CCL26
hsa-miR-147a,IL17RB
hsa-miR-346,ALOX12
hsa-miR-4458,KIF4A
hsa-miR-8055,TRIB2
hsa-miR-2861,ECM1
hsa-miR-483-5p,LTF
hsa-miR-127-5p,CIP2A
hsa-miR-579-3p,MCM3AP-AS1
hsa-miR-629-5p,DUSP10
hsa-miR-639,NR5A2
hsa-miR-520a-3p,MFN2
hsa-miR-374a-5p,ARHGEF3
hsa-miR-505-3p,IGF2BP3
hsa-miR-875-5p,PTENP1
hsa-miR-138-5p,CNTFR
hsa-miR-185-5p,ZFYVE9
hsa-miR-212-3p,NDRG2
hsa-miR-648,EPHB1
hsa-miR-3163,CREBRF
hsa-miR-122-3p,CRIM1
hsa-miR-922,PDGFA
hsa-miR-373-3p,MMP11
hsa-miR-1270,SIRPA
hsa-miR-626,N4BP1
hsa-miR-3127-3p,MYH2
hsa-miR-378a-5p,FUT4
hsa-miR-3941,SIRT6
hsa-miR-101-5p,KLK10
hsa-miR-885-3p,CD34
hsa-miR-769-5p,PODN
hsa-miR-3940-5p,BRAF
hsa-miR-1238-3p,STAT3
hsa-miR-139-5p,CCDC43
hsa-miR-454-3p,TPM3
hsa-miR-744-5p,ZNF215
hsa-miR-1182,PIK3R3
hsa-miR-1290,GRINA
hsa-miR-431-5p,IFNGR1
hsa-miR-29b-3p,STRN4
hsa-miR-33b-3p,COPB2
hsa-miR-34a-5p,SLC34A2
hsa-miR-20a-5p,BTG2
hsa-miR-301b-3p,PTPN7
hsa-let-7i-3p,TMEM92
hsa-miR-409-3p,IKBKG
hsa-miR-369-5p,NRGN
hsa-miR-193b-5p,AHR
hsa-miR-591,RXRA
hsa-miR-3658,RSRC1
hsa-miR-299-5p,NKD2
hsa-miR-30a-5p,ERN1
hsa-miR-512-3p,CAPNS1
hsa-miR-125b-5p,DLL4
hsa-miR-33a-3p,DCTN4
hsa-miR-151a-5p,BMP7
hsa-miR-605-5p,ADAM17
hsa-miR-422a,PTP4A2
hsa-miR-513c-5p,CORO1A
hsa-miR-24-2-5p,CCND3
hsa-miR-526b-3p,TGFB3
hsa-miR-31-5p,ADGRE5
hsa-miR-7844-5p,GATA4
hsa-miR-1246,SOX5
hsa-miR-658,MAP3K12
hsa-miR-888-5p,PITPNC1
hsa-miR-26a-5p,TBR1
hsa-miR-28-3p,FLT1
hsa-miR-1299,PPP2R2A
