hsa-miR-34b-5p,CDK4
hsa-miR-448,CXCL12
hsa-miR-30b-5p,NOTCH1
hsa-miR-200b-3p,FOXG1
hsa-miR-374a-5p,MEG3
hsa-miR-646,EYA3
hsa-let-7e-5p,TNFRSF10B
hsa-miR-24-3p,FEN1
hsa-miR-205-5p,BCL6
hsa-miR-552-3p,BIRC5
hsa-miR-486-3p,SMAD3
hsa-miR-101-3p,VEGFC
hsa-miR-21-5p,STUB1
hsa-miR-128-3p,SUZ12
hsa-miR-200b-3p,ROCK2
hsa-miR-28-5p,IL34
hsa-miR-106b-5p,JAK1
hsa-miR-224-5p,CDH1
hsa-miR-188-5p,ITGA7
hsa-miR-1908-5p,APOE
hsa-miR-9-5p,GSK3B
hsa-miR-155-5p,TAF5L
hsa-miR-26a-5p,GSK3B
hsa-miR-4497,BMP8A
hsa-miR-23a-3p,FANCG
hsa-miR-494-3p,PROS1
hsa-miR-22-3p,ERBB3
hsa-let-7b-5p,CCNA2
hsa-miR-9-5p,PRKAA1
hsa-miR-653-5p,SOX30
hsa-miR-30a-5p,NCAM1
hsa-miR-329-3p,KDM1A
hsa-miR-301a-3p,MEOX2
hsa-miR-185-5p,ARC
hsa-miR-579-3p,BRAF
hsa-miR-93-5p,FOXO3
hsa-let-7a-5p,NGF
hsa-miR-627-5p,KDM3A
hsa-miR-149-5p,MMP9
hsa-miR-15b-5p,TRIM29
hsa-miR-199a-5p,PSMD9
hsa-miR-27a-3p,ATF3
hsa-miR-320b,ABCG1
hsa-miR-4458,PBX3
hsa-miR-10b-5p,TP53
hsa-miR-30b-5p,EIF2S1
hsa-miR-218-5p,MBNL2
hsa-miR-34c-5p,ITPR1
hsa-miR-182-5p,TSC22D3
hsa-miR-34a-5p,KLB
hsa-miR-29c-3p,COL5A2
hsa-miR-22-3p,AKT1
hsa-let-7g-5p,THBS1
hsa-miR-92a-3p,FBXW7
hsa-miR-361-3p,WNT10A
hsa-miR-21-5p,PPIF
hsa-miR-30a-5p,FOXL2
hsa-miR-7-5p,EGFR
hsa-miR-675-5p,GSK3B
hsa-miR-302b-3p,AKT2
hsa-miR-204-5p,CREB1
hsa-miR-34a-3p,KL
hsa-miR-433-3p,FGF20
hsa-miR-148a-3p,TGIF2
hsa-miR-31-5p,CDK1
hsa-miR-17-5p,MEF2D
hsa-miR-200a-3p,TCF7L1
hsa-miR-28-5p,TEX261
hsa-miR-373-3p,LEFTY2
hsa-miR-125b-5p,TP53
hsa-miR-135a-5p,STAT6
hsa-miR-133a-3p,MCL1
hsa-miR-221-3p,ETS1
hsa-miR-449b-5p,CDK4
hsa-miR-1246,SPRED2
hsa-miR-26a-5p,ADAM17
hsa-miR-29c-3p,PDGFRB
hsa-miR-222-3p,BCL2L11
hsa-miR-96-5p,CDKN1A
hsa-miR-92b-3p,NLK
hsa-miR-155-3p,PDCD4
hsa-miR-130b-3p,ITGB1
hsa-miR-675-5p,TGFB1
hsa-miR-155-5p,PICALM
hsa-miR-10a-3p,NR2C2
hsa-miR-200b-3p,BAP1
hsa-miR-21-5p,DNM1L
hsa-miR-372-5p,NEK7
hsa-miR-30b-5p,RASAL2
hsa-miR-654-3p,HDGF
hsa-miR-125b-5p,DKK3
hsa-miR-17-5p,PTPRO
hsa-miR-29b-1-5p,TGFB1
hsa-miR-424-5p,MAP2K1
hsa-miR-133b,HCN2
hsa-miR-132-3p,SOX4
hsa-miR-221-3p,SELE
hsa-miR-143-3p,EZH2
hsa-miR-150-5p,CREB1
hsa-miR-1-3p,KCNJ2
hsa-miR-192-5p,DICER1
hsa-miR-155-5p,CARD11
hsa-miR-128-3p,SREBF1
hsa-miR-146b-5p,RARB
hsa-miR-302a-3p,SLAIN1
hsa-miR-515-5p,GCM1
hsa-miR-582-5p,MCL1
hsa-miR-125b-1-3p,MTFP1
hsa-miR-150-5p,ZEB1
hsa-miR-135a-5p,PHLPP2
hsa-miR-330-3p,MSI1
hsa-miR-143-3p,SCHLAP1
hsa-miR-140-5p,ALDH1A1
hsa-miR-16-5p,RECK
hsa-miR-25-3p,SMAD5
hsa-miR-31-5p,SPRY3
hsa-miR-451a,BCL2
hsa-miR-146b-5p,ZNRF3
hsa-miR-503-5p,PART1
hsa-miR-155-5p,BRPF3
hsa-miR-30c-5p,SERPINE1
hsa-miR-212-3p,CCNB1
hsa-miR-27a-3p,YAP1
hsa-miR-181a-5p,PTPN22
hsa-miR-124-3p,CDH2
hsa-miR-146a-3p,CEACAM6
hsa-miR-182-5p,RARG
hsa-miR-125b-1-3p,TACSTD2
hsa-miR-675-5p,RUNX1
hsa-miR-29c-3p,COL1A1
hsa-miR-128-3p,MAPK14
hsa-miR-27a-3p,GATA2
hsa-miR-485-5p,APOA5
hsa-miR-326,NOTCH1
hsa-miR-128-1-5p,E2F3
hsa-miR-145-5p,TGFBR2
hsa-miR-192-5p,BCL2
hsa-miR-144-5p,SMAD4
hsa-miR-29b-3p,TGFB1
hsa-miR-562,MET
hsa-miR-126-3p,PLK4
hsa-miR-302d-3p,LEFTY1
hsa-miR-133a-5p,FUS
hsa-miR-200a-3p,KLF11
hsa-let-7e-5p,MMP9
hsa-miR-148a-3p,IKBKB
hsa-miR-4638-5p,KIDINS220
hsa-miR-193a-5p,NLN
hsa-miR-19b-3p,ESR1
hsa-miR-155-5p,HBP1
hsa-miR-486-5p,NRP2
hsa-miR-381-3p,CD1C
hsa-miR-34c-5p,NOTCH4
hsa-miR-34c-5p,GIT1
hsa-miR-29a-3p,CCND1
hsa-let-7a-5p,TMED7
hsa-miR-346,SRCIN1
hsa-miR-106a-5p,PTEN
hsa-miR-125b-5p,STAT3
hsa-miR-22-3p,TIAM1
hsa-miR-20a-5p,KIT
hsa-miR-27a-5p,PEBP1
hsa-miR-23a-3p,HOXB4
hsa-miR-21-5p,REST
hsa-miR-26b-5p,DAPK1
hsa-miR-218-5p,RICTOR
hsa-miR-205-5p,SMAD1
hsa-miR-675-5p,HDAC5
hsa-miR-34c-3p,PSMG1
hsa-miR-330-5p,TYR
hsa-miR-196b-5p,RSPO2
hsa-miR-1226-3p,MUC1
hsa-miR-34a-5p,PEA15
hsa-miR-520a-3p,HOXD8
hsa-miR-494-3p,ATF3
hsa-miR-182-5p,UCA1
hsa-miR-34a-3p,CTNNB1
hsa-miR-300,ROCK1
hsa-miR-767-5p,COL4A2
hsa-let-7c-5p,NRAS
hsa-miR-200b-3p,RASSF2
hsa-miR-33a-5p,PRKAA1
hsa-miR-148b-3p,HSP90AA1
hsa-let-7a-5p,TRIM71
hsa-miR-210-3p,DIMT1
hsa-miR-587,TGFBR2
hsa-miR-499a-5p,VAV3
hsa-miR-101-5p,ACKR3
hsa-miR-199a-3p,CDK7
hsa-miR-7-5p,NOTCH4
hsa-miR-802,MYLIP
hsa-miR-200a-3p,STAT4
hsa-miR-223-3p,SP1
hsa-miR-377-3p,TP53
hsa-miR-513c-5p,BTG3
hsa-miR-7-5p,BCL2
hsa-miR-29b-1-5p,COL3A1
hsa-miR-20b-5p,CRIM1
hsa-miR-22-3p,PHF8
hsa-miR-221-3p,TBK1
hsa-miR-126-3p,LRP6
hsa-miR-302a-3p,PTEN
hsa-miR-199b-5p,KIT
hsa-miR-195-5p,BTRC
hsa-miR-9-5p,NRP1
hsa-miR-34a-5p,ATG4D
hsa-miR-214-3p,QKI
hsa-miR-31-5p,EMSY
hsa-miR-223-3p,PAX6
hsa-miR-204-5p,DNM3OS
hsa-miR-107,PLAG1
hsa-miR-200c-3p,ACE2
hsa-miR-21-5p,SPRY2
hsa-miR-34b-3p,CDK4
hsa-miR-1180-3p,TCEAL1
hsa-miR-29a-3p,FGG
hsa-miR-767-5p,LOX
hsa-miR-302c-3p,ESR1
hsa-miR-628-5p,HLA-G
hsa-miR-15b-3p,CCND1
hsa-miR-17-5p,SIRPA
hsa-miR-122-3p,GLS
hsa-miR-200c-3p,LEPR
hsa-miR-199a-5p,MAP4K3
hsa-miR-20a-5p,ARHGAP12
hsa-miR-23a-3p,TRAF5
hsa-miR-197-3p,RAN
hsa-miR-216b-5p,FOXM1
hsa-miR-138-5p,AKT1
hsa-miR-19b-1-5p,FGFR2
hsa-miR-200c-3p,UBE2I
hsa-miR-18a-5p,RUNX1
hsa-miR-133b,FAS
hsa-miR-96-5p,MTSS1
hsa-miR-155-5p,BACH1
hsa-miR-196b-5p,AKT1
hsa-miR-127-5p,HMGB2
hsa-miR-126-5p,VEGFA
hsa-miR-26a-5p,NORAD
hsa-miR-142-3p,CLIC4
hsa-miR-505-3p,PTPN11
hsa-miR-524-5p,MMP9
hsa-miR-191-5p,MDM4
hsa-miR-18a-3p,KRAS
hsa-miR-101-3p,DNMT3A
hsa-miR-500a-5p,CYLD
hsa-miR-9-5p,ACAT1
hsa-miR-758-3p,TLR3
hsa-miR-10b-3p,BUB1
hsa-miR-224-5p,EYA4
hsa-miR-143-3p,MMP2
hsa-miR-581,DICER1
hsa-miR-409-3p,ERCC1
hsa-miR-22-3p,EEF2K
hsa-miR-125a-5p,HDAC5
hsa-miR-376a-3p,TTK
hsa-miR-198,BIRC7
hsa-miR-16-5p,BDNF
hsa-miR-146a-5p,FANCM
hsa-miR-675-3p,SMAD5
hsa-miR-410-3p,CCNB1
hsa-miR-377-3p,E2F3
hsa-miR-181b-5p,HMGB1
hsa-miR-361-5p,TWIST1
hsa-miR-34a-5p,INHBB
hsa-miR-30c-5p,NOTCH1
hsa-miR-26a-5p,ARL4C
hsa-miR-193a-5p,OGDHL
hsa-miR-591,ZEB1
hsa-miR-503-5p,FGF8
hsa-miR-222-3p,TIMP3
hsa-miR-204-5p,NTRK2
hsa-miR-324-5p,SUFU
hsa-miR-302d-3p,MAP3K1
hsa-miR-340-5p,PIK3C3
hsa-miR-216a-3p,ACTL6A
hsa-miR-196a-5p,RASSF4
hsa-miR-16-5p,PPM1D
hsa-miR-27b-3p,PINK1
hsa-miR-372-3p,CDKN1A
hsa-miR-182-5p,SNAI2
hsa-miR-639,ZEB1
hsa-miR-374a-5p,GADD45A
hsa-miR-203a-3p,IFIT1
hsa-miR-19a-3p,MXD1
hsa-miR-138-5p,BLCAP
hsa-miR-16-5p,TPPP3
hsa-miR-126-3p,ADGRE5
hsa-miR-135a-5p,NR3C2
hsa-miR-145-5p,NIPSNAP1
hsa-miR-155-5p,AGTR1
hsa-miR-33a-5p,PIM3
hsa-miR-192-5p,ALX1
hsa-let-7b-5p,IRS2
hsa-miR-9-5p,POU2F2
hsa-miR-1193,CLDN7
hsa-miR-141-3p,SUSD2
hsa-miR-26a-1-3p,GSK3B
hsa-miR-222-3p,BBC3
hsa-miR-208b-3p,CDKN1A
hsa-miR-1228-3p,CSNK2A2
hsa-miR-433-3p,RUNX2
hsa-miR-1908-3p,SRM
hsa-miR-425-5p,TGFB1
hsa-miR-128-3p,KLF4
hsa-miR-1270,WT1
hsa-miR-532-5p,TRAPPC2B
hsa-miR-520c-3p,APP
hsa-miR-181a-5p,IFNG
hsa-miR-19b-3p,CIT
hsa-miR-138-5p,S100A1
hsa-miR-424-5p,SIAH1
hsa-miR-122-5p,CREB1
hsa-miR-106a-3p,SMAD7
hsa-miR-206,SOX9
hsa-miR-181b-5p,BCL2
hsa-miR-491-5p,EGFR
hsa-miR-505-3p,SIRT3
hsa-miR-494-3p,BCL2L11
hsa-miR-589-5p,PTGS2
hsa-miR-211-3p,RGS5
hsa-miR-520h,SMAD6
